team,match_id,possession_pct
New Zealand ,NewZealand_vs_Egypt_2026-06-21,44
 Egypt,NewZealand_vs_Egypt_2026-06-21,56
Argentina ,Argentina_vs_Austria_2026-06-22,54
Austria,Argentina_vs_Austria_2026-06-22,46
France ,France_vs_Iraq_2026-06-22,56
Iraq,France_vs_Iraq_2026-06-22,45
Norway ,Norway_vs_Senegal_2026-06-22,42
Senegal,Norway_vs_Senegal_2026-06-22,58
Jordan ,Jordan_vs_Algeria_2026-06-22,28
 Algeria,Jordan_vs_Algeria_2026-06-22,72
Portugal ,Portugal_vs_Uzbekistan_2026-06-23,66
Uzbekistan,Portugal_vs_Uzbekistan_2026-06-23,34
England ,England_vs_Ghana_2026-06-23,79
Ghana,England_vs_Ghana_2026-06-23,21
Panama ,Panama_vs_Croatia_2026-06-23,42
Croatia,Panama_vs_Croatia_2026-06-23,58
Colombia ,Colombia_vs_CongoDR_2026-06-23,64
Congo DR,Colombia_vs_CongoDR_2026-06-23,37
Switzerland ,Switzerland_vs_Canada_2026-06-24,55
Canada,Switzerland_vs_Canada_2026-06-24,45
Bosnia–Herz ,BosniaHerz_vs_Qatar_2026-06-24,55
Qatar,BosniaHerz_vs_Qatar_2026-06-24,46
Scotland ,Scotland_vs_Brazil_2026-06-24,46
Brazil,Scotland_vs_Brazil_2026-06-24,54
Morocco ,Morocco_vs_Haiti_2026-06-24,69
Haiti,Morocco_vs_Haiti_2026-06-24,31
South Africa ,SouthAfrica_vs_KoreaRepublic_2026-06-24,32
Korea Republic,SouthAfrica_vs_KoreaRepublic_2026-06-24,69
Czechia ,Czechia_vs_Mexico_2026-06-24,52
Mexico,Czechia_vs_Mexico_2026-06-24,48
Curacao,Curacao_vs_CoteD'lvoire_2026-06-25,37
Cote d'lvoire,Curacao_vs_CoteD'lvoire_2026-06-25,63
Ecuador ,Ecuador_vs_Germany_2026-06-25,39
Germany,Ecuador_vs_Germany_2026-06-25,61
Japan ,Japan_vs_Sweden_2026-06-25,52
Sweden,Japan_vs_Sweden_2026-06-25,48
Tunisia ,Tunisia_vs_Netherlands_2026-06-25,29
Netherlands,Tunisia_vs_Netherlands_2026-06-25,72
Paraguay ,Paraguay_vs_Australia_2026-06-25,44
Australia,Paraguay_vs_Australia_2026-06-25,56
Turkey,Turkey_vs_USA_2026-06-25,48
USA,Turkey_vs_USA_2026-06-25,53
Norway ,Norway_vs_France_2026-06-26,43
France,Norway_vs_France_2026-06-26,57
Senegal ,Senegal_vs_Iraq_2026-06-26,69
Iraq,Senegal_vs_Iraq_2026-06-26,31
Uruguay ,Uruguay_vs_Spain_2026-06-26,33
Spain,Uruguay_vs_Spain_2026-06-26,67
Cabo Verde ,CaboVerde_vs_SaudiArabia_2026-06-26,51
Saudi Arabia,CaboVerde_vs_SaudiArabia_2026-06-26,49
Egypt ,Egypt_vs_IRIran_2026-06-26,61
IR Iran,Egypt_vs_IRIran_2026-06-26,39
New Zealand ,NewZealand_vs_Belgium_2026-06-26,45
Belgium,NewZealand_vs_Belgium_2026-06-26,55
Panama ,Panama_vs_England_2026-06-27,33
England,Panama_vs_England_2026-06-27,67
Croatia ,Croatia_vs_Ghana_2026-06-27,53
Ghana,Croatia_vs_Ghana_2026-06-27,47
Colombia ,Colombia_vs_Portugal_2026-06-27,55
Portugal,Colombia_vs_Portugal_2026-06-27,45
Congo DR ,CongoDR_vs_Uzbekistan_2026-06-27,58
Uzbekistan,CongoDR_vs_Uzbekistan_2026-06-27,42
Jordan ,Jordan_vs_Argentina_2026-06-27,27
Argentina,Jordan_vs_Argentina_2026-06-27,73
Algeria ,Algeria_vs_Austria_2026-06-27,65
Austria,Algeria_vs_Austria_2026-06-27,35
